date,location,hosp_patients,total_beds,icu_patients,total_resp,total_quarantine,total_nadzor
2020-06-23,Polska,1965,0,65.0,0,92992,16574.0
2020-06-24,Polska,1974,0,74.0,0,92409,17139.0
2020-06-25,Polska,1933,0,77.0,0,91461,16728.0
2020-06-26,Polska,1869,0,80.0,0,89294,16568.0
2020-06-27,Polska,1845,0,83.0,0,85603,15211.0
2020-06-28,Polska,1797,0,86.0,0,83460,14469.0
2020-06-29,Polska,1811,0,85.0,0,83499,13987.0
2020-06-30,Polska,1923,0,78.0,0,83033,13919.0
2020-07-01,Polska,1787,0,73.0,0,83521,13941.0
2020-07-02,Polska,1743,0,72.0,0,84790,13478.0
2020-07-03,Polska,1731,0,74.0,0,84560,13280.0
2020-07-04,Polska,1765,0,77.0,0,83813,13508.0
2020-07-05,Polska,1790,0,76.0,0,83767,12118.0
2020-07-06,Polska,1658,0,73.0,0,85327,11780.0
2020-07-07,Polska,1683,0,66.0,0,84363,11547.0
2020-07-08,Polska,1687,0,65.0,0,85955,10889.0
2020-07-09,Polska,1597,0,66.0,0,86712,10565.0
2020-07-10,Polska,1617,0,67.0,0,86915,10045.0
2020-07-11,Polska,1610,0,65.0,0,86168,9789.0
2020-07-12,Polska,1640,0,69.0,0,85610,9138.0
2020-07-13,Polska,1581,0,74.0,0,86747,9473.0
2020-07-14,Polska,1575,0,73.0,0,86698,9684.0
2020-07-15,Polska,1550,0,68.0,0,90496,9778.0
2020-07-16,Polska,1604,0,71.0,0,86073,9627.0
2020-07-17,Polska,1551,0,66.0,0,92008,9715.0
2020-07-18,Polska,1560,0,67.0,0,89956,9665.0
2020-07-19,Polska,1575,0,72.0,0,89822,9557.0
2020-07-20,Polska,1607,0,73.0,0,90767,9356.0
2020-07-21,Polska,1644,0,73.0,0,90961,9846.0
2020-07-22,Polska,1626,0,71.0,0,92577,8907.0
2020-07-23,Polska,1617,0,61.0,0,92577,7472.0
2020-07-24,Polska,1594,0,65.0,0,94164,7411.0
2020-07-25,Polska,1601,0,68.0,0,93311,7418.0
2020-07-26,Polska,1625,0,69.0,0,92803,7394.0
2020-07-27,Polska,1655,0,61.0,0,94920,7245.0
2020-07-28,Polska,1687,0,66.0,0,95453,6222.0
2020-07-29,Polska,1694,0,63.0,0,97561,8094.0
2020-07-30,Polska,1778,0,72.0,0,97189,8069.0
2020-07-31,Polska,1841,0,74.0,0,98282,8241.0
2020-08-01,Polska,1835,0,76.0,0,96425,8523.0
2020-08-02,Polska,1841,0,74.0,0,95794,8272.0
2020-08-03,Polska,1859,0,65.0,0,98875,8499.0
2020-08-04,Polska,1898,0,72.0,0,100151,9044.0
2020-08-05,Polska,1913,0,72.0,0,102815,9052.0
2020-08-06,Polska,1928,0,73.0,0,104923,9237.0
2020-08-07,Polska,1928,0,72.0,0,107229,9256.0
2020-08-08,Polska,1930,0,73.0,0,105795,9227.0
2020-08-09,Polska,1929,0,71.0,0,104167,9566.0
2020-08-10,Polska,1985,0,74.0,0,105427,9230.0
2020-08-11,Polska,2021,0,76.0,0,106915,9490.0
2020-08-12,Polska,2059,0,82.0,0,108677,9413.0
2020-08-13,Polska,2040,0,79.0,0,108309,9660.0
2020-08-14,Polska,2028,0,84.0,0,107395,9606.0
2020-08-15,Polska,2035,0,81.0,0,103805,9477.0
2020-08-16,Polska,2040,0,83.0,0,102970,9305.0
2020-08-17,Polska,2057,0,82.0,0,103236,8920.0
2020-08-18,Polska,2097,0,83.0,0,103621,8813.0
2020-08-19,Polska,2110,0,85.0,0,103961,9034.0
2020-08-20,Polska,2151,0,84.0,0,103351,8902.0
2020-08-21,Polska,2189,0,79.0,0,103876,8899.0
2020-08-22,Polska,2195,0,81.0,0,100066,7892.0
2020-08-23,Polska,2207,0,83.0,0,98233,8894.0
2020-08-24,Polska,2167,0,76.0,0,100023,8544.0
2020-08-25,Polska,2170,0,79.0,0,99705,8947.0
2020-08-26,Polska,2185,0,82.0,0,101678,8984.0
2020-08-27,Polska,2221,0,89.0,0,101547,8893.0
2020-08-28,Polska,2237,0,87.0,0,100845,8817.0
2020-08-29,Polska,2242,0,85.0,0,98576,8555.0
2020-08-30,Polska,2249,0,83.0,0,96351,8397.0
2020-08-31,Polska,2138,0,86.0,0,96888,7929.0
2020-09-01,Polska,2168,0,83.0,0,96664,8145.0
2020-09-02,Polska,2170,0,81.0,0,98341,8070.0
2020-09-03,Polska,2179,0,75.0,0,71311,7610.0
2020-09-04,Polska,2090,0,77.0,0,71452,7090.0
2020-09-05,Polska,2091,0,79.0,0,70788,7112.0
2020-09-06,Polska,2113,0,81.0,0,72285,7097.0
2020-09-07,Polska,2042,0,81.0,0,76047,7010.0
2020-09-08,Polska,2070,0,81.0,0,79124,7160.0
2020-09-09,Polska,1924,0,84.0,0,83170,7408.0
2020-09-10,Polska,1957,0,82.0,0,86892,7090.0
2020-09-11,Polska,1946,0,85.0,0,90216,7343.0
2020-09-12,Polska,1961,0,86.0,0,91819,7229.0
2020-09-13,Polska,1972,0,87.0,0,92057,6972.0
2020-09-14,Polska,1996,0,92.0,0,95241,6934.0
2020-09-15,Polska,2007,0,86.0,0,94273,8062.0
2020-09-16,Polska,1917,0,84.0,0,103425,9331.0
2020-09-17,Polska,1925,0,83.0,0,111530,10102.0
2020-09-18,Polska,1977,0,83.0,0,118864,11494.0
2020-09-19,Polska,1985,0,86.0,0,118212,11751.0
2020-09-20,Polska,1979,0,83.0,0,116871,11956.0
2020-09-21,Polska,1993,0,85.0,0,115789,11849.0
2020-09-22,Polska,1971,0,89.0,0,114000,9962.0
2020-09-23,Polska,1964,0,91.0,0,125220,11089.0
2020-09-24,Polska,1995,0,96.0,0,137023,12937.0
2020-09-25,Polska,2134,0,110.0,0,143442,13894.0
2020-09-26,Polska,2223,0,124.0,0,139460,16368.0
2020-09-27,Polska,2305,0,130.0,0,136128,16128.0
2020-09-28,Polska,2399,0,141.0,0,134588,14660.0
2020-09-29,Polska,2481,0,152.0,0,129961,15619.0
2020-09-30,Polska,2560,0,159.0,0,133981,16891.0
2020-10-01,Polska,2702,0,166.0,0,139056,20876.0
2020-10-02,Polska,2850,0,179.0,0,158038,21464.0
2020-10-03,Polska,2977,0,191.0,0,150565,22003.0
2020-10-04,Polska,3158,0,219.0,0,154365,21375.0
2020-10-05,Polska,3719,0,263.0,0,159530,19933.0
2020-10-06,Polska,4000,0,283.0,0,145873,21289.0
2020-10-07,Polska,4138,0,296.0,0,171251,22737.0
2020-10-08,Polska,4407,0,320.0,0,188629,26716.0
2020-10-09,Polska,4725,0,346.0,0,206048,31863.0
2020-10-10,Polska,4924,0,383.0,0,231032,32394.0
2020-10-11,Polska,5262,0,404.0,0,250094,35094.0
2020-10-12,Polska,5669,0,421.0,0,212446,33533.0
2020-10-13,Polska,6084,0,467.0,0,249349,33071.0
2020-10-14,Polska,6538,0,508.0,0,296020,36066.0
2020-10-15,Polska,6980,0,540.0,0,311625,41498.0
2020-10-16,Polska,7512,0,604.0,0,327507,45605.0
2020-10-17,Polska,8076,0,649.0,0,320482,45909.0
2020-10-18,Polska,8375,0,672.0,0,304567,46864.0
2020-10-19,Polska,8962,0,725.0,0,289447,44675.0
2020-10-20,Polska,9439,0,757.0,0,335060,42688.0
2020-10-21,Polska,10091,0,812.0,0,378348,47314.0
2020-10-22,Polska,10788,18432.0,851.0,1393.0,398851,52753.0
2020-10-23,Polska,11396,19132.0,911.0,1434.0,478761,57802.0
2020-10-24,Polska,11887,19453.0,947.0,1457.0,446154,49174.0
2020-10-25,Polska,12282,19610.0,999.0,1490.0,445991,54268.0
2020-10-26,Polska,13291,20704.0,1078.0,1594.0,442109,54440.0
2020-10-27,Polska,13931,21506.0,1150.0,1663.0,479288,47242.0
2020-10-28,Polska,14631,22467.0,1203.0,1733.0,489079,48977.0
2020-10-29,Polska,15444,23111.0,1254.0,1777.0,496213,49503.0
2020-10-30,Polska,16144,24024.0,1305.0,1807.0,504706,48928.0
2020-10-31,Polska,16427,24483.0,1371.0,1852.0,439159,48301.0
2020-11-01,Polska,17223,24807.0,1453.0,1916.0,435343,46844.0
2020-11-02,Polska,18160,25902.0,1550.0,1979.0,421582,46697.0
2020-11-03,Polska,18654,27143.0,1625.0,2094.0,408121,43549.0
2020-11-04,Polska,19114,28010.0,1615.0,2144.0,430732,42689.0
2020-11-05,Polska,19479,29407.0,1703.0,2238.0,433524,42562.0
2020-11-06,Polska,20249,30896.0,1813.0,2357.0,441832,52655.0
2020-11-07,Polska,20214,31250.0,1841.0,2459.0,407579,42921.0
2020-11-08,Polska,20967,31815.0,1804.0,2442.0,376567,41403.0
2020-11-09,Polska,21640,32586.0,1898.0,2460.0,407486,37655.0
2020-11-10,Polska,21521,33603.0,1975.0,2569.0,431104,36263.0
2020-11-11,Polska,21899,33662.0,2008.0,2601.0,404352,27706.0
2020-11-12,Polska,22298,34622.0,2047.0,2659.0,430310,30420.0
2020-11-13,Polska,22320,35182.0,2126.0,2805.0,440025,30625.0
2020-11-14,Polska,21988,35488.0,2114.0,2751.0,409322,29920.0
2020-11-15,Polska,22458,35604.0,2103.0,2754.0,422767,28528.0
2020-11-16,Polska,23033,36730.0,2114.0,2815.0,415174,25618.0
2020-11-17,Polska,22812,36802.0,2117.0,2829.0,415601,25653.0
2020-11-18,Polska,22536,37348.0,2080.0,2888.0,434034,24717.0
2020-11-19,Polska,22643,37558.0,2135.0,2936.0,408567,23153.0
2020-11-20,Polska,22478,37895.0,2125.0,2956.0,391837,22982.0
2020-11-21,Polska,22094,38136.0,2126.0,2978.0,356130,22156.0
2020-11-22,Polska,22234,38111.0,2149.0,3116.0,362959,21290.0
2020-11-23,Polska,22405,38345.0,2095.0,3010.0,334331,19671.0
2020-11-24,Polska,22119,38635.0,2073.0,3041.0,338769,18592.0
2020-11-25,Polska,21636,38671.0,2109.0,3060.0,338190,16753.0
2020-11-26,Polska,21691,38955.0,2106.0,3070.0,323887,16776.0
2020-11-27,Polska,21476,38318.0,2100.0,3090.0,336352,12764.0
2020-11-28,Polska,21059,39224.0,2100.0,3081.0,286117,11998.0
2020-11-29,Polska,21504,39236.0,2118.0,3074.0,292277,11540.0
2020-11-30,Polska,21351,39732.0,2032.0,3103.0,262959,11305.0
2020-12-01,Polska,20855,39051.0,2023.0,3106.0,268256,12283.0
2020-12-02,Polska,20477,38962.0,1986.0,3109.0,289972,13646.0
2020-12-03,Polska,20135,39102.0,1961.0,3141.0,262548,19605.0
2020-12-04,Polska,19895,38529.0,1906.0,3119.0,250594,13334.0
2020-12-05,Polska,19363,38358.0,1900.0,3110.0,253747,12893.0
2020-12-06,Polska,19917,38412.0,1886.0,3114.0,231300,12492.0
2020-12-07,Polska,19917,38123.0,1835.0,3187.0,237786,12050.0
2020-12-08,Polska,19459,38230.0,1800.0,3112.0,254786,12326.0
2020-12-09,Polska,19131,38186.0,1775.0,3121.0,219992,11389.0
