date,year,total,age,short,location
2011-01-03,2011,27.0,Y40-59,PL52,opolskie
2011-01-03,2011,360.0,Y_GE80,PL22,śląskie
2011-01-03,2011,46.0,Y40-59,PL62,warmińsko-mazurskie
2011-01-03,2011,80.0,Y40-59,PL63,pomorskie
2011-01-03,2011,136.0,Y40-59,PL71,łódzkie
2011-01-03,2011,39.0,Y40-59,PL72,świętokrzyskie
2011-01-03,2011,61.0,Y40-59,PL81,lubelskie
2011-01-03,2011,50.0,Y40-59,PL82,podkarpackie
2011-01-03,2011,32.0,Y40-59,PL84,podlaskie
2011-01-03,2011,197.0,Y40-59,PL9,mazowieckie
2011-01-03,2011,3262.0,Y60-79,PL,Polska
2011-01-03,2011,246.0,Y60-79,PL21,małopolskie
2011-01-03,2011,489.0,Y60-79,PL22,śląskie
2011-01-03,2011,286.0,Y60-79,PL41,wielkopolskie
2011-01-03,2011,157.0,Y60-79,PL42,zachodniopomorskie
2011-01-03,2011,265.0,Y_GE80,PL41,wielkopolskie
2011-01-03,2011,244.0,Y60-79,PL51,dolnośląskie
2011-01-03,2011,269.0,Y_GE80,PL21,małopolskie
2011-01-03,2011,3128.0,Y_GE80,PL,Polska
2011-01-03,2011,441.0,Y60-79,PL9,mazowieckie
2011-01-03,2011,74.0,Y60-79,PL43,lubuskie
2011-01-03,2011,148.0,Y60-79,PL82,podkarpackie
2011-01-03,2011,174.0,Y60-79,PL81,lubelskie
2011-01-03,2011,87.0,Y60-79,PL84,podlaskie
2011-01-03,2011,253.0,Y60-79,PL71,łódzkie
2011-01-03,2011,177.0,Y60-79,PL63,pomorskie
2011-01-03,2011,123.0,Y60-79,PL62,warmińsko-mazurskie
2011-01-03,2011,165.0,Y60-79,PL61,kujawsko-pomorskie
2011-01-03,2011,89.0,Y60-79,PL52,opolskie
2011-01-03,2011,109.0,Y60-79,PL72,świętokrzyskie
2011-01-10,2011,17.0,Y20-39,PL51,dolnośląskie
2011-01-10,2011,8.0,Y20-39,PL43,lubuskie
2011-01-10,2011,9.0,Y20-39,PL42,zachodniopomorskie
2011-01-10,2011,9.0,Y20-39,PL41,wielkopolskie
2011-01-10,2011,27.0,Y20-39,PL22,śląskie
2011-01-10,2011,0.0,UNK,PL81,lubelskie
2011-01-10,2011,194.0,Y20-39,PL,Polska
2011-01-10,2011,0.0,UNK,PL9,mazowieckie
2011-01-10,2011,0.0,UNK,PL84,podlaskie
2011-01-10,2011,0.0,UNK,PL82,podkarpackie
2011-01-10,2011,4.0,Y20-39,PL52,opolskie
2011-01-10,2011,15.0,Y20-39,PL21,małopolskie
