JPT,powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,population,total_full,percent full,total_1d,nazwa,wojew,typ_p
JPT_3001022,chodzieski,583,188,922,1305,858,8494,3118,"36,7",3856,Budzyń,wielkopolskie,<20k
JPT_1215032,suski,544,154,934,1194,611,8902,2868,"32,2",3437,Budzów,małopolskie,<20k
JPT_3021033,poznański,1126,323,1842,2388,1168,12673,5781,"45,6",6847,Buk,wielkopolskie,<20k
JPT_0414012,świecki,333,88,495,694,504,5130,1929,"37,6",2114,Bukowiec,kujawsko-pomorskie,<20k
JPT_1217032,tatrzański,645,118,796,1086,653,13455,2961,22,3298,Bukowina Tatrzańska,małopolskie,<20k
JPT_1212011,olkuski,1073,168,1015,1558,1139,9976,4523,"45,3",4953,Bukowno,małopolskie,<20k
JPT_1817032,sanocki,284,35,274,412,312,5463,1107,"20,3",1317,Bukowsko,podkarpackie,<20k
JPT_1419042,płocki,473,101,524,770,443,5472,1994,"36,4",2311,Bulkowo,mazowieckie,<20k
JPT_1014052,sieradzki,512,64,427,745,479,5498,2026,"36,8",2227,Burzenin,łódzkie,<20k
JPT_2601013,buski,3307,457,2959,4942,3226,32005,13736,"42,9",14891,Busko-Zdrój,świętokrzyskie,20k-50k
JPT_0609033,lubelski,1032,185,981,1435,926,11532,4202,"36,4",4559,Bychawa,lubelskie,<20k
JPT_1604013,kluczborski,746,167,866,1233,806,9170,3424,"37,3",3818,Byczyna,opolskie,<20k
JPT_0461011,Bydgoszcz,43058,8422,43102,56624,36272,344091,170727,"49,6",187478,Bydgoszcz,kujawsko-pomorskie,>100k
JPT_1215042,suski,421,101,613,934,403,6895,2024,"29,4",2472,Bystra-Sidzina,małopolskie,<20k
JPT_0208063,kłodzki,1909,259,1324,2162,1900,18607,6834,"36,7",7554,Bystrzyca Kłodzka,dolnośląskie,<20k
JPT_0802032,krośnieński (lubuskie),198,37,213,358,241,2494,952,"38,2",1047,Bytnica,lubuskie,<20k
JPT_2462011,Bytom,16417,3408,16485,23820,14629,163255,68191,"41,8",74759,Bytom,śląskie,>100k
JPT_0804023,nowosolski,477,102,457,770,543,5376,2060,"38,3",2349,Bytom Odrzański,lubuskie,<20k
JPT_0411022,radziejowski,374,82,362,607,350,3411,1417,"41,5",1775,Bytoń,kujawsko-pomorskie,<20k
JPT_2201023,bytowski,2026,447,2462,3548,2373,25372,9426,"37,2",10856,Bytów,pomorskie,20k-50k
JPT_0401052,aleksandrowski,396,64,431,608,400,4187,1625,"38,8",1899,Bądkowo,kujawsko-pomorskie,<20k
JPT_1016022,tomaszowski (łódzkie),318,40,291,458,303,3253,1155,"35,5",1410,Będków,łódzkie,<20k
JPT_2401011,będziński,6383,1401,5931,9782,6068,56008,27128,"48,4",29565,Będzin,śląskie,50k-100k
JPT_3209012,koszaliński,608,161,805,1267,900,8639,3406,"39,4",3741,Będzino,zachodniopomorskie,<20k
JPT_1014023,sieradzki,1305,204,1188,1885,1168,14373,4819,"33,5",5750,Błaszki,łódzkie,<20k
JPT_1816023,rzeszowski,839,114,677,1121,609,10835,3146,29,3360,Błażowa,podkarpackie,<20k
JPT_1432013,warszawski zachodni,2282,713,2960,4176,2150,21610,11097,"51,4",12281,Błonie,mazowieckie,20k-50k
JPT_1406022,grójecki,677,120,604,960,630,7357,2716,"36,9",2991,Błędów,mazowieckie,<20k
JPT_2204022,gdański,420,161,752,1119,598,6986,2726,39,3050,Cedry Wielkie,pomorskie,<20k
JPT_3206023,gryfiński,330,104,452,655,410,4168,1745,"41,9",1951,Cedynia,zachodniopomorskie,<20k
JPT_1412042,miński,581,90,602,931,676,6072,2574,"42,4",2880,Cegłów,mazowieckie,<20k
JPT_0416012,tucholski,458,125,634,867,615,6901,2346,34,2699,Cekcyn,kujawsko-pomorskie,<20k
JPT_3007032,kaliski,421,61,383,678,406,4767,1668,35,1949,Ceków-Kolonia,wielkopolskie,<20k
JPT_1417032,otwocki,1014,284,1435,2029,1121,11701,5173,"44,2",5883,Celestynów,mazowieckie,<20k
JPT_1429032,sokołowski,235,17,144,280,185,2126,782,"36,8",861,Ceranów,mazowieckie,<20k
JPT_2208032,lęborski,400,126,736,910,552,7621,2363,31,2724,Cewice,pomorskie,<20k
JPT_1208012,miechowski,806,138,797,1105,766,7377,3188,"43,2",3612,Charsznica,małopolskie,<20k
JPT_0662011,Chełm,6146,925,4875,8460,6653,61135,24487,"40,1",27059,Chełm,lubelskie,50k-100k
JPT_0603032,chełmski,816,182,1023,1823,1012,15099,4271,"28,3",4856,Chełm,lubelskie,<20k
JPT_2414052,bieruńsko-lędziński,522,121,800,1005,519,6403,2652,"41,4",2967,Chełm Śląski,śląskie,<20k
JPT_1213033,oświęcimski,1353,296,1404,2196,1284,12837,5723,"44,6",6533,Chełmek,małopolskie,<20k
JPT_1210022,nowosądecki,1358,414,2667,3603,1754,28959,8771,"30,3",9796,Chełmiec,małopolskie,20k-50k
JPT_0404011,chełmiński,1964,498,2008,3105,2093,19205,8910,"46,4",9668,Chełmno,kujawsko-pomorskie,<20k
JPT_0404022,chełmiński,295,115,585,804,415,6157,1947,"31,6",2214,Chełmno,kujawsko-pomorskie,<20k
JPT_0415011,toruński,1201,341,1485,2300,1426,14362,5931,"41,3",6753,Chełmża,kujawsko-pomorskie,<20k
