population,total_vacc,new_vacc,total_vacc_2,new_vacc_2,slots_7,slots_30,date,powiat,wojew
56486,40894,187,18744,74,25,57,2021-07-17,kępiński,wielkopolskie
62924,36508,389,16908,335,54,141,2021-07-17,kętrzyński,warmińsko-mazurskie
84924,51675,206,23746,118,508,508,2021-07-17,kłobucki,śląskie
159337,114008,941,52283,588,1101,3480,2021-07-17,kłodzki,dolnośląskie
116775,64624,365,26353,195,270,486,2021-07-17,legionowski,mazowieckie
55326,39488,229,17136,166,438,650,2021-07-17,legnicki,dolnośląskie
26562,12616,42,6158,18,181,698,2021-07-17,leski,podkarpackie
56485,17557,132,7887,95,13,447,2021-07-17,leszczyński,wielkopolskie
69562,34773,151,15826,79,200,772,2021-07-17,leżajski,podkarpackie
41512,26880,272,12615,246,230,366,2021-07-17,lidzbarski,warmińsko-mazurskie
131523,76219,630,34275,425,685,1041,2021-07-17,limanowski,małopolskie
66062,45835,142,20018,67,184,186,2021-07-17,lipnowski,kujawsko-pomorskie
34214,22764,204,10432,182,19,160,2021-07-17,lipski,mazowieckie
55652,29396,134,13627,75,451,1153,2021-07-17,lubaczowski,podkarpackie
88789,49226,397,22599,311,100,569,2021-07-17,lubartowski,lubelskie
54699,25588,327,10425,301,395,828,2021-07-17,lubański,dolnośląskie
154387,75915,321,34040,207,994,1574,2021-07-17,lubelski,lubelskie
106254,115355,545,55052,237,833,1419,2021-07-17,lubiński,dolnośląskie
76593,47679,168,21572,112,267,466,2021-07-17,lubliniecki,śląskie
46059,36171,549,16191,384,598,796,2021-07-17,lwówecki,dolnośląskie
66280,49914,373,22346,266,523,1402,2021-07-17,lęborski,pomorskie
45247,35675,292,16163,251,58,114,2021-07-17,makowski,mazowieckie
63748,35462,96,15635,78,9,112,2021-07-17,malborski,pomorskie
49137,55283,443,25636,379,104,645,2021-07-17,miechowski,małopolskie
136673,80865,251,37838,158,213,2742,2021-07-17,mielecki,podkarpackie
98373,39205,161,18207,148,2940,6466,2021-07-17,mikołowski,śląskie
37093,30178,129,13945,73,113,205,2021-07-17,milicki,dolnośląskie
36982,30008,267,13488,214,11,118,2021-07-17,międzychodzki,wielkopolskie
58024,61248,92,28367,76,597,1275,2021-07-17,międzyrzecki,lubuskie
153824,111980,582,48546,503,1885,5406,2021-07-17,miński,mazowieckie
45821,25973,291,11667,253,266,886,2021-07-17,mogileński,kujawsko-pomorskie
40712,20691,18,9578,18,188,1017,2021-07-17,moniecki,podlaskie
50080,24564,209,11004,206,92,279,2021-07-17,mrągowski,warmińsko-mazurskie
71119,49695,447,22678,323,58,258,2021-07-17,myszkowski,śląskie
127028,87977,820,40132,573,823,1609,2021-07-17,myślenicki,małopolskie
66264,36148,154,16746,92,1555,3813,2021-07-17,myśliborski,zachodniopomorskie
73102,50789,1103,23324,958,600,1194,2021-07-17,mławski,mazowieckie
